"Date","Match","Score","saison"
"28.01.2012","FC Koln - Schalke","1:4",2011
"28.01.2012","Augsburg - Kaiserslautern","2:2",2011
"28.01.2012","Bayern Munich - Wolfsburg","2:0",2011
"28.01.2012","Dortmund - Hoffenheim","3:1",2011
"28.01.2012","Hertha Berlin - Hamburger SV","1:2",2011
"28.01.2012","Werder Bremen - Bayer Leverkusen","1:1",2011
"27.01.2012","Hannover - Nurnberg","1:0",2011
"22.01.2012","Bayer Leverkusen - Mainz","3:2",2011
"22.01.2012","Hamburger SV - Dortmund","1:5",2011
"21.01.2012","Freiburg - Augsburg","1:0",2011
"21.01.2012","Hoffenheim - Hannover","0:0",2011
"21.01.2012","Kaiserslautern - Werder Bremen","0:0",2011
"21.01.2012","Nurnberg - Hertha Berlin","2:0",2011
"21.01.2012","Schalke - Stuttgart","3:1",2011
"21.01.2012","Wolfsburg - FC Koln","1:0",2011
"20.01.2012","B. Monchengladbach - Bayern Munich","3:1",2011
"18.12.2011","B. Monchengladbach - Mainz","1:0",2011
"18.12.2011","Kaiserslautern - Hannover","1:1",2011
"17.12.2011","Bayer Leverkusen - Nurnberg","0:3",2011
"17.12.2011","Freiburg - Dortmund","1:4",2011
"17.12.2011","Hamburger SV - Augsburg","1:1",2011
"17.12.2011","Hoffenheim - Hertha Berlin","1:1",2011
